Id	FCend	FCnorm	Dem_1	Dem_2	Dem_3	Dem_4	socF_1	socF_2	socF_3	socF_4
189	0.7449	0	0.6	1	1	0.4	0.7984	0.7929	0.7875	0.782
190	0.7449	0	0.6	1	1	0.6	0.7984	0.7929	0.7875	0.782
191	0.7449	0	0.6	1	1	0.8	0.7984	0.7929	0.7875	0.782
192	0.7449	0	0.6	1	1	1	0.7984	0.7929	0.7875	0.782
193	0.7449	0	0.8	0.4	0.4	0.4	0.7984	0.7929	0.7875	0.782
194	0.7449	0	0.8	0.4	0.4	0.6	0.7984	0.7929	0.7875	0.782
195	0.7449	0	0.8	0.4	0.4	0.8	0.7984	0.7929	0.7875	0.782
196	0.7449	0	0.8	0.4	0.4	1	0.7984	0.7929	0.7875	0.782
197	0.7449	0	0.8	0.4	0.6	0.4	0.7984	0.7929	0.7875	0.782
198	0.7449	0	0.8	0.4	0.6	0.6	0.7984	0.7929	0.7875	0.782
199	0.7449	0	0.8	0.4	0.6	0.8	0.7984	0.7929	0.7875	0.782
200	0.7449	0	0.8	0.4	0.6	1	0.7984	0.7929	0.7875	0.782
201	0.7449	0	0.8	0.4	0.8	0.4	0.7984	0.7929	0.7875	0.782
202	0.7449	0	0.8	0.4	0.8	0.6	0.7984	0.7929	0.7875	0.782
203	0.7449	0	0.8	0.4	0.8	0.8	0.7984	0.7929	0.7875	0.782
204	0.7449	0	0.8	0.4	0.8	1	0.7984	0.7929	0.7875	0.782
205	0.7449	0	0.8	0.4	1	0.4	0.7984	0.7929	0.7875	0.782
206	0.7449	0	0.8	0.4	1	0.6	0.7984	0.7929	0.7875	0.782
207	0.7449	0	0.8	0.4	1	0.8	0.7984	0.7929	0.7875	0.782
208	0.7449	0	0.8	0.4	1	1	0.7984	0.7929	0.7875	0.782
209	0.7449	0	0.8	0.6	0.4	0.4	0.7984	0.7929	0.7875	0.782
210	0.7449	0	0.8	0.6	0.4	0.6	0.7984	0.7929	0.7875	0.782
211	0.7449	0	0.8	0.6	0.4	0.8	0.7984	0.7929	0.7875	0.782
212	0.7449	0	0.8	0.6	0.4	1	0.7984	0.7929	0.7875	0.782
213	0.7449	0	0.8	0.6	0.6	0.4	0.7984	0.7929	0.7875	0.782
214	0.7449	0	0.8	0.6	0.6	0.6	0.7984	0.7929	0.7875	0.782
215	0.7449	0	0.8	0.6	0.6	0.8	0.7984	0.7929	0.7875	0.782
216	0.7449	0	0.8	0.6	0.6	1	0.7984	0.7929	0.7875	0.782
217	0.7449	0	0.8	0.6	0.8	0.4	0.7984	0.7929	0.7875	0.782
218	0.7449	0	0.8	0.6	0.8	0.6	0.7984	0.7929	0.7875	0.782
219	0.7449	0	0.8	0.6	0.8	0.8	0.7984	0.7929	0.7875	0.782
220	0.7449	0	0.8	0.6	0.8	1	0.7984	0.7929	0.7875	0.782
221	0.7449	0	0.8	0.6	1	0.4	0.7984	0.7929	0.7875	0.782
222	0.7449	0	0.8	0.6	1	0.6	0.7984	0.7929	0.7875	0.782
223	0.7449	0	0.8	0.6	1	0.8	0.7984	0.7929	0.7875	0.782
224	0.7449	0	0.8	0.6	1	1	0.7984	0.7929	0.7875	0.782
225	0.7449	0	0.8	0.8	0.4	0.4	0.7984	0.7929	0.7875	0.782
226	0.7449	0	0.8	0.8	0.4	0.6	0.7984	0.7929	0.7875	0.782
227	0.7449	0	0.8	0.8	0.4	0.8	0.7984	0.7929	0.7875	0.782
228	0.7449	0	0.8	0.8	0.4	1	0.7984	0.7929	0.7875	0.782
229	0.7449	0	0.8	0.8	0.6	0.4	0.7984	0.7929	0.7875	0.782
230	0.7449	0	0.8	0.8	0.6	0.6	0.7984	0.7929	0.7875	0.782
231	0.7449	0	0.8	0.8	0.6	0.8	0.7984	0.7929	0.7875	0.782
232	0.7449	0	0.8	0.8	0.6	1	0.7984	0.7929	0.7875	0.782
233	0.7449	0	0.8	0.8	0.8	0.4	0.7984	0.7929	0.7875	0.782
234	0.7449	0	0.8	0.8	0.8	0.6	0.7984	0.7929	0.7875	0.782
235	0.7449	0	0.8	0.8	0.8	0.8	0.7984	0.7929	0.7875	0.782
236	0.7449	0	0.8	0.8	0.8	1	0.7984	0.7929	0.7875	0.782
237	0.7449	0	0.8	0.8	1	0.4	0.7984	0.7929	0.7875	0.782
238	0.7449	0	0.8	0.8	1	0.6	0.7984	0.7929	0.7875	0.782
239	0.7449	0	0.8	0.8	1	0.8	0.7984	0.7929	0.7875	0.782
240	0.7449	0	0.8	0.8	1	1	0.7984	0.7929	0.7875	0.782
241	0.7449	0	0.8	1	0.4	0.4	0.7984	0.7929	0.7875	0.782
242	0.7449	0	0.8	1	0.4	0.6	0.7984	0.7929	0.7875	0.782
243	0.7449	0	0.8	1	0.4	0.8	0.7984	0.7929	0.7875	0.782
244	0.7449	0	0.8	1	0.4	1	0.7984	0.7929	0.7875	0.782
245	0.7449	0	0.8	1	0.6	0.4	0.7984	0.7929	0.7875	0.782
246	0.7449	0	0.8	1	0.6	0.6	0.7984	0.7929	0.7875	0.782
247	0.7449	0	0.8	1	0.6	0.8	0.7984	0.7929	0.7875	0.782
248	0.7449	0	0.8	1	0.6	1	0.7984	0.7929	0.7875	0.782
249	0.7449	0	0.8	1	0.8	0.4	0.7984	0.7929	0.7875	0.782
250	0.7449	0	0.8	1	0.8	0.6	0.7984	0.7929	0.7875	0.782
251	0.7449	0	0.8	1	0.8	0.8	0.7984	0.7929	0.7875	0.782
252	0.7449	0	0.8	1	0.8	1	0.7984	0.7929	0.7875	0.782
253	0.7449	0	0.8	1	1	0.4	0.7984	0.7929	0.7875	0.782
254	0.7449	0	0.8	1	1	0.6	0.7984	0.7929	0.7875	0.782
255	0.7449	0	0.8	1	1	0.8	0.7984	0.7929	0.7875	0.782
256	0.7449	0	0.8	1	1	1	0.7984	0.7929	0.7875	0.782
257	0.7449	0	1	0.4	0.4	0.4	0.7984	0.7929	0.7875	0.782
258	0.7449	0	1	0.4	0.4	0.6	0.7984	0.7929	0.7875	0.782
259	0.7449	0	1	0.4	0.4	0.8	0.7984	0.7929	0.7875	0.782
260	0.7449	0	1	0.4	0.4	1	0.7984	0.7929	0.7875	0.782
261	0.7449	0	1	0.4	0.6	0.4	0.7984	0.7929	0.7875	0.782
262	0.7449	0	1	0.4	0.6	0.6	0.7984	0.7929	0.7875	0.782
263	0.7449	0	1	0.4	0.6	0.8	0.7984	0.7929	0.7875	0.782
264	0.7449	0	1	0.4	0.6	1	0.7984	0.7929	0.7875	0.782
265	0.7449	0	1	0.4	0.8	0.4	0.7984	0.7929	0.7875	0.782
266	0.7449	0	1	0.4	0.8	0.6	0.7984	0.7929	0.7875	0.782
267	0.7449	0	1	0.4	0.8	0.8	0.7984	0.7929	0.7875	0.782
268	0.7449	0	1	0.4	0.8	1	0.7984	0.7929	0.7875	0.782
269	0.7449	0	1	0.4	1	0.4	0.7984	0.7929	0.7875	0.782
270	0.7449	0	1	0.4	1	0.6	0.7984	0.7929	0.7875	0.782
271	0.7449	0	1	0.4	1	0.8	0.7984	0.7929	0.7875	0.782
272	0.7449	0	1	0.4	1	1	0.7984	0.7929	0.7875	0.782
273	0.7449	0	1	0.6	0.4	0.4	0.7984	0.7929	0.7875	0.782
274	0.7449	0	1	0.6	0.4	0.6	0.7984	0.7929	0.7875	0.782
275	0.7449	0	1	0.6	0.4	0.8	0.7984	0.7929	0.7875	0.782
276	0.7449	0	1	0.6	0.4	1	0.7984	0.7929	0.7875	0.782
277	0.7449	0	1	0.6	0.6	0.4	0.7984	0.7929	0.7875	0.782
278	0.7449	0	1	0.6	0.6	0.6	0.7984	0.7929	0.7875	0.782
279	0.7449	0	1	0.6	0.6	0.8	0.7984	0.7929	0.7875	0.782
280	0.7449	0	1	0.6	0.6	1	0.7984	0.7929	0.7875	0.782
281	0.7449	0	1	0.6	0.8	0.4	0.7984	0.7929	0.7875	0.782
282	0.7449	0	1	0.6	0.8	0.6	0.7984	0.7929	0.7875	0.782
283	0.7449	0	1	0.6	0.8	0.8	0.7984	0.7929	0.7875	0.782
284	0.7449	0	1	0.6	0.8	1	0.7984	0.7929	0.7875	0.782
285	0.7449	0	1	0.6	1	0.4	0.7984	0.7929	0.7875	0.782
286	0.7449	0	1	0.6	1	0.6	0.7984	0.7929	0.7875	0.782
287	0.7449	0	1	0.6	1	0.8	0.7984	0.7929	0.7875	0.782
288	0.7449	0	1	0.6	1	1	0.7984	0.7929	0.7875	0.782
289	0.7449	0	1	0.8	0.4	0.4	0.7984	0.7929	0.7875	0.782
290	0.7449	0	1	0.8	0.4	0.6	0.7984	0.7929	0.7875	0.782
291	0.7449	0	1	0.8	0.4	0.8	0.7984	0.7929	0.7875	0.782
292	0.7449	0	1	0.8	0.4	1	0.7984	0.7929	0.7875	0.782
293	0.7449	0	1	0.8	0.6	0.4	0.7984	0.7929	0.7875	0.782
294	0.7449	0	1	0.8	0.6	0.6	0.7984	0.7929	0.7875	0.782
295	0.7449	0	1	0.8	0.6	0.8	0.7984	0.7929	0.7875	0.782
296	0.7449	0	1	0.8	0.6	1	0.7984	0.7929	0.7875	0.782
297	0.7449	0	1	0.8	0.8	0.4	0.7984	0.7929	0.7875	0.782
